,날짜,종가,전일비,시가,고가,저가,거래량
0,2022.09.22,"54,400",900,"54,600","54,700","54,300","12,675,328"
1,2022.09.21,"55,300",500,"55,400","55,500","55,000","11,863,700"
2,2022.09.20,"55,800",600,"56,400","57,000","55,800","14,041,465"
3,2022.09.19,"56,400",200,"56,300","57,000","56,000","12,278,653"
4,2022.09.16,"56,200",200,"55,600","56,400","55,500","13,456,503"
5,2022.09.15,"56,000",800,"57,000","57,100","56,000","11,664,819"
6,2022.09.14,"56,800","1,300","56,200","57,200","56,100","12,524,961"
7,2022.09.13,"58,100","2,500","57,000","58,500","56,800","17,166,581"
8,2022.09.08,"55,600",400,"56,200","56,400","55,600","18,000,016"
9,2022.09.07,"56,000","1,100","56,700","56,700","55,900","17,384,854"
10,2022.09.06,"57,100",0,"57,200","57,600","56,900","7,503,086"
11,2022.09.05,"57,100",400,"57,400","57,800","56,800","11,425,977"
12,2022.09.02,"57,500",900,"58,300","58,600","57,500","15,040,310"
13,2022.09.01,"58,400","1,300","58,700","58,900","58,300","14,905,777"
14,2022.08.31,"59,700",900,"58,200","59,900","58,200","14,203,512"
15,2022.08.30,"58,800",200,"58,700","59,000","58,300","9,690,044"
16,2022.08.29,"58,600","1,400","58,700","58,900","58,600","9,841,329"
17,2022.08.26,"60,000",300,"60,300","60,900","59,900","9,499,995"
18,2022.08.25,"59,700",700,"59,200","59,700","59,000","5,767,902"
19,2022.08.24,"59,000",100,"59,200","59,500","59,000","8,888,486"
20,2022.08.23,"59,100",900,"59,000","59,600","59,000","9,041,629"
21,2022.08.22,"60,000",900,"60,300","60,400","59,800","8,259,865"
22,2022.08.19,"60,900",600,"61,400","61,600","60,600","6,923,679"
23,2022.08.18,"61,500","1,100","60,300","61,900","60,000","16,372,754"
24,2022.08.17,"60,400",600,"61,100","61,200","60,300","9,061,518"
25,2022.08.16,"61,000",800,"60,500","61,600","60,300","15,036,727"
26,2022.08.12,"60,200",300,"59,500","60,700","59,400","10,786,658"
27,2022.08.11,"59,900",800,"59,600","60,000","59,300","15,141,941"
28,2022.08.10,"59,100",900,"58,900","59,200","58,600","18,084,349"
29,2022.08.09,"60,000",800,"60,600","60,700","59,600","18,251,170"
30,2022.08.08,"60,800",700,"61,400","61,400","60,600","11,313,150"
31,2022.08.05,"61,500",0,"61,700","61,900","61,200","9,567,620"
32,2022.08.04,"61,500",200,"61,700","61,800","61,200","9,125,439"
33,2022.08.03,"61,300",400,"61,600","61,600","61,000","10,053,861"
34,2022.08.02,"61,700",400,"61,200","61,900","61,000","13,614,895"
35,2022.08.01,"61,300",100,"61,000","61,700","60,300","13,154,816"
36,2022.07.29,"61,400",500,"62,400","62,600","61,300","15,093,120"
37,2022.07.28,"61,900",100,"62,300","62,600","61,600","10,745,302"
38,2022.07.27,"61,800",100,"61,300","61,900","61,200","7,320,997"
39,2022.07.26,"61,700",600,"60,800","61,900","60,800","6,597,211"
40,2022.07.25,"61,100",200,"60,900","61,900","60,800","9,193,681"
41,2022.07.22,"61,300",500,"61,800","62,200","61,200","10,261,310"
42,2022.07.21,"61,800","1,300","61,100","61,900","60,700","12,291,374"
43,2022.07.20,"60,500",400,"61,800","62,100","60,500","16,782,238"
44,2022.07.19,"60,900","1,000","61,400","61,500","60,200","15,248,261"
45,2022.07.18,"61,900","1,900","60,600","62,000","60,500","20,832,517"
46,2022.07.15,"60,000","2,500","58,400","60,000","58,100","18,685,583"
47,2022.07.14,"57,500",500,"57,500","58,200","57,400","15,067,012"
48,2022.07.13,"58,000",100,"58,300","58,600","58,000","10,841,315"
49,2022.07.12,"58,100",700,"58,600","58,700","58,100","9,336,061"
